Jogador,Time,Posição,Preço (C$),Média (pts),Variação última (C$),Jogos
Kanu,BAH,Zagueiro,3.68,0.83,0.0,3
Luiz Gustavo,BAH,Zagueiro,1.0,0.0,0.0,0
Marco Moreno,BAH,Zagueiro,4.0,0.0,0.0,0
Marcos Victor,BAH,Zagueiro,4.18,2.67,0.0,3
Santiago Mingo,BAH,Zagueiro,4.77,2.32,-0.1,20
Arthur Cabral,BOT,Atacante,9.89,6.16,-0.34,17
Arthur Izaque,BOT,Atacante,1.0,0.0,0.0,0
Danilo Pereira,BOT,Atacante,5.33,2.35,0.35,2
Júnior Santos,BOT,Atacante,4.71,2.28,0.16,9
Kadir,BOT,Atacante,4.15,2.12,0.0,9
Kauan Toledo,BOT,Atacante,2.87,2.18,0.0,5
Lucas Emanuel,BOT,Atacante,1.45,1.4,0.0,1
Matheus Martins,BOT,Atacante,6.76,4.27,-0.25,17
Villalba,BOT,Atacante,4.33,1.61,0.0,10
Cléber Lucas,BOT,Goleiro,1.0,0.0,0.0,0
Cristhian Loor,BOT,Goleiro,2.0,0.0,0.0,0
Gabriel Batista,BOT,Goleiro,3.0,0.0,0.0,0
Warleson,BOT,Goleiro,6.12,5.67,-0.2,3
Alex Telles,BOT,Lateral,9.12,4.39,-1.15,17
Caio Roque,BOT,Lateral,5.72,4.0,0.0,3
Gabriel Abdias,BOT,Lateral,3.0,0.0,0.0,0
Jhoan Hernández,BOT,Lateral,3.69,0.0,0.0,1
Kadu,BOT,Lateral,1.0,0.0,0.0,0
Marçal,BOT,Lateral,5.85,2.62,0.0,5
Mateo Ponte,BOT,Lateral,5.53,2.8,0.0,8
Paulinho,BOT,Lateral,4.4,-0.3,0.0,1
Vitinho,BOT,Lateral,9.06,4.96,-0.74,17
Allan,BOT,Meia,4.48,2.03,0.0,10
Arthur Novaes,BOT,Meia,1.0,0.0,0.0,0
Barrera,BOT,Meia,4.93,2.46,0.0,11
Caio Valle,BOT,Meia,1.0,0.0,0.0,0
Danilo,BOT,Meia,14.19,8.05,-0.81,15
Domingos Andrade,BOT,Meia,5.04,1.5,0.04,1
Edenílson,BOT,Meia,6.15,3.2,0.0,14
Huguinho,BOT,Meia,4.48,3.74,-1.51,5
Marquinhos,BOT,Meia,0.85,0.0,0.0,1
Medina,BOT,Meia,7.08,3.86,0.03,13
Montoro,BOT,Meia,6.5,2.67,-0.79,17
Santi Rodríguez,BOT,Meia,5.79,2.14,0.11,11
Victor Hugo,BOT,Meia,1.0,0.0,0.0,0
Wallace Davi,BOT,Meia,4.0,0.0,0.0,0
Rodrigo Bellão,BOT,Técnico,11.74,6.81,0.0,2
Anthony,BOT,Zagueiro,3.0,0.0,0.0,0
Ferraresi,BOT,Zagueiro,6.38,2.69,0.85,17
Herick,BOT,Zagueiro,1.0,0.0,0.0,0
Justino,BOT,Zagueiro,3.24,2.74,0.0,8
Kaio,BOT,Zagueiro,7.0,0.0,0.0,0
Lucas Monzón,BOT,Zagueiro,3.42,-0.4,-0.58,1
Ythallo,BOT,Zagueiro,3.5,0.2,0.0,1
Cassierra,CAM,Atacante,5.64,2.25,0.33,18
Cauã Soares,CAM,Atacante,1.24,0.64,0.0,5
Cuello,CAM,Atacante,11.49,6.45,2.71,20
Dudu,CAM,Atacante,5.92,2.39,-0.24,14
Minda,CAM,Atacante,7.11,4.0,-1.02,12
Thiago Borbas,CAM,Atacante,3.5,-0.3,0.0,1
Everson,CAM,Goleiro,9.36,4.4,0.5,22
